38,600436.SH,片仔癀,漳州片仔癀药业股份有限公司,福建,漳州市,2003-06-16,1999-12-28,林志辉,"60,331.72",2789,"锭剂、片剂、颗粒剂、胶囊剂、软膏剂、糖浆剂、酊剂的生产,片仔癀牌蜂乳胶囊生产销售等。",漳州市人民政府国有资产监督管理委员会,福建省漳州市芗城区琥珀路1号,福建省漳州市芗城区琥珀路1号,医药制造业
39,600720.SH,中交设计,中交设计咨询集团股份有限公司,甘肃,兰州市,1996-07-16,1996-07-17,崔玉萍,"206,170.85",8450,工程技术与设计服务,中国交通建设集团有限公司,甘肃省兰州市城关区草场街街道北滨河东路188号附1号天星滨河时代10层1004,北京市朝阳区安定路5号恒毅大厦5层,非金属矿物制品业
40,603816.SH,顾家家居,顾家家居股份有限公司,浙江,杭州市,2016-10-14,2006-10-31,顾江生,"82,189.15",21088,客餐厅、卧室及全屋定制家居产品的研究、开发、生产和销售,何剑锋,杭州经济技术开发区11号大街113号,浙江省杭州市上城区东宁路599号顾家大厦,家具制造业
41,603218.SH,日月股份,日月重工股份有限公司,浙江,宁波市,2016-12-28,2007-12-13,傅明康,"103,092.50",4070,大型重工装备铸件的研发、生产及销售,傅明康,宁波市鄞州区东吴镇北村村,浙江省宁波市鄞州区东吴镇北村村,通用设备制造业
42,600197.SH,伊力特,新疆伊力特实业股份有限公司,新疆,可克达拉市,1999-09-16,1999-05-27,陈智,"47,198.58",2085,公司是一家集白酒的生产、研发和销售合为一体的农业产业化、新型工业化白酒酿造与销售企业,新疆可克达拉市国有资本投资运营有限责任公司,新疆可克达拉市天山北路619号,新疆可克达拉市天山北路619号,酒、饮料和精制茶制造业
43,603859.SH,能科科技,能科科技股份有限公司,北京,北京市,2016-10-21,2006-12-26,祖军,"16,656.83",1422,智能制造、智能电气,"祖军,赵岚",北京市房山区德润南路9号院,北京市海淀区西北旺东路10号院5号楼互联网创新中心2层,软件和信息技术服务业
44,603558.SH,健盛集团,浙江健盛集团股份有限公司,浙江,杭州市,2015-01-27,1993-12-06,张茂义,"36,908.09",9364,针织运动服饰的生产制造,张茂义,杭州市萧山经济开发区金一路111号,浙江省杭州市萧山经济开发区金一路111号,纺织服装、服饰业
45,600800.SH,渤海化学,天津渤海化学股份有限公司,天津,天津市,1993-12-06,1979-05-30,郭子敬,"111,004.52",765,丙烯及副产品生产销售、卡类产品、印刷业务及卡类配套机具制造销售。,天津市人民政府国有资产监督管理委员会,天津市滨海新区临港经济区渤海十三路189号,天津市滨海新区临港经济区渤海十三路189号,化学原料和化学制品制造业
46,600815.SH,厦工股份,厦门厦工机械股份有限公司,福建,厦门市,1994-01-28,1997-02-26,曾挺毅,"177,409.45",699,装载机、挖掘机、叉车、路面机械等工程机械及配件的生产、销售。,厦门市人民政府国有资产监督管理委员会,厦门市思明区厦禾路668号,厦门市灌口南路668号之八,专用设备制造业
47,600449.SH,宁夏建材,宁夏建材集团股份有限公司,宁夏,银川市,2003-08-29,1998-12-04,王玉林,"47,818.10",2644,水泥及水泥熟料、商品混凝土和骨料的制造与销售,中国建材集团有限公司,宁夏银川市西夏区新小线二公里处,宁夏回族自治区银川市金凤区人民广场东街219号建材大厦,非金属矿物制品业
48,600326.SH,西藏天路,西藏天路股份有限公司,西藏,拉萨市,2001-01-16,1999-03-29,顿珠朗加,"122,970.59",1995,"工程承包,水泥及水泥制品生产销售,沥青及沥青制品生产销售,矿产品加工与销售等",西藏自治区人民政府国有资产监督管理委员会,西藏拉萨市夺底路14号,西藏拉萨市夺底路14号,非金属矿物制品业
49,603778.SH,国晟科技,国晟世安科技股份有限公司,北京,北京市,2015-12-31,2002-11-05,吴君,"64,285.71",1500,"园林工程施工和园林景观设计,已形成科技研发、苗木种植与养护、园林景观设计、工程施工一体化经营的全产业链业务模式","吴君,高飞",北京市海淀区门头馨园路1号,北京市海淀区门头馨园路1号,土木工程建筑业
50,600525.SH,长园集团,长园科技集团股份有限公司,广东,深圳市,2002-12-02,1986-06-27,吴启权,"131,481.52",8051,"智能电网设备与能源互联网技术服务,消费类电子及其他领域智能设备",无,深圳市南山区高新区科苑中路长园新材料港1号高科技厂房,深圳市南山区高新区科苑中路长园新材料港1号高科技厂房,电气机械和器材制造业
51,603667.SH,五洲新春,浙江五洲新春集团股份有限公司,浙江,绍兴市,2016-10-25,1999-11-12,张峰,"36,858.11",4850,"轴承、精密机械零部件和汽车安全系统、热管理系统零部件的研发、生产和销售,为相关主机客户提供行业领先的解决方案和高效保障","张峰,俞越蕾",浙江省新昌县七星街道泰坦大道199号,浙江省绍兴市新昌县七星街道泰坦大道199号,通用设备制造业
52,600537.SH,亿晶光电,亿晶光电科技股份有限公司,浙江,宁波市,2003-01-23,1998-01-21,刘强,"119,609.00",2643,"公司业务范围包括电池制备、组件封装、光伏发电。公司的电池制备业务主要是为公司后端的光伏组件生产配套,公司主要致力于光伏组件生产销售及光伏电站业务市场",古汉宁,浙江省慈溪市海通路528号,江苏省常州市金坛区金武路18号,电气机械和器材制造业
53,600075.SH,新疆天业,新疆天业股份有限公司,新疆,石河子市,1997-06-17,1997-06-09,张强,"170,736.18",9605,氯碱化工,新疆生产建设兵团农八师国有资产监督管理委员会,新疆石河子市经济技术开发区北三东路36号,新疆石河子市经济技术开发区北三东路36号,化学原料和化学制品制造业
54,600511.SH,国药股份,国药集团药业股份有限公司,北京,北京市,2002-11-27,1999-12-21,姜修昌,"75,450.30",3138,组织药品生产;化学原料药、西药制剂、生化药品、生物制品、中成药的销售。,中国医药集团有限公司,北京市东城区永定门西滨河路8号院7楼西塔6-9层,北京市东城区永定门西滨河路8号院7楼西塔6-9层,批发业
55,600566.SH,济川药业,湖北济川药业股份有限公司,湖北,荆州市,2001-08-22,1997-01-22,曹龙祥,"92,180.67",5230,药品的研发、生产和销售,曹龙祥,湖北省荆州市沙市区园林路时尚豪庭602室,江苏省泰兴市大庆西路宝塔湾,医药制造业
56,601669.SH,中国电建,中国电力建设股份有限公司,北京,北京市,2011-10-18,2009-11-30,丁焰章,"1,722,615.93",165295,工程承包与勘测设计业务、电力投资与运营业务及其他业务。工程承包与勘测设计业务包括能源电力、水资源与环境、城市建设和基础设施。,国务院国有资产监督管理委员会,北京市海淀区车公庄西路22号,北京市海淀区车公庄西路22号,土木工程建筑业
